"","plant_id","Temp","Time","Species","initial_fvfm","post_fvfm","final_fvfm","fvfm_prop_ip","fvfm_prop_io","unique_sample","Species_sample"
"88",18,58,5,"Vicia faba",0.763,0,0,0,0,4,"Vicia faba_4"
"89",20,30,5,"Vicia faba",0.802,0.828,0.799,1,0.996259351620948,5,"Vicia faba_5"
"90",20,30,15,"Vicia faba",0.776,0.813,0.829,1,1,5,"Vicia faba_5"
"91",20,30,30,"Vicia faba",0.841,0.843,0.84,1,0.998810939357907,5,"Vicia faba_5"
"92",20,30,60,"Vicia faba",0.802,0.777,0.817,0.968827930174564,1,5,"Vicia faba_5"
"93",20,40,60,"Vicia faba",0.808,0.329,0.287,0.407178217821782,0.35519801980198,5,"Vicia faba_5"
"94",20,42,15,"Vicia faba",0.852,0.395,0.445,0.463615023474178,0.522300469483568,5,"Vicia faba_5"
"95",20,42,30,"Vicia faba",0.821,0.292,0.359,0.355663824604141,0.437271619975639,5,"Vicia faba_5"
"96",20,44,5,"Vicia faba",0.835,0.56,0.685,0.670658682634731,0.820359281437126,5,"Vicia faba_5"
"97",20,44,15,"Vicia faba",0.832,0.284,0.184,0.341346153846154,0.221153846153846,5,"Vicia faba_5"
"98",20,44,30,"Vicia faba",0.814,0.104,0.318,0.127764127764128,0.390663390663391,5,"Vicia faba_5"
"99",20,44,60,"Vicia faba",0.849,NA,0.074,NA,0.0871613663133098,5,"Vicia faba_5"
"100",20,48,5,"Vicia faba",0.811,0.351,0.36,0.432799013563502,0.443896424167694,5,"Vicia faba_5"
"101",20,48,15,"Vicia faba",0.824,0.265,0.316,0.321601941747573,0.383495145631068,5,"Vicia faba_5"
"102",20,48,30,"Vicia faba",0.804,0,0,0,0,5,"Vicia faba_5"
"103",20,48,60,"Vicia faba",0.785,0,0,0,0,5,"Vicia faba_5"
"104",20,52,5,"Vicia faba",0.81,0.439,0.311,0.541975308641975,0.383950617283951,5,"Vicia faba_5"
"105",20,52,15,"Vicia faba",0.786,0,0,0,0,5,"Vicia faba_5"
"106",20,52,30,"Vicia faba",0.809,0,0,0,0,5,"Vicia faba_5"
"107",20,52,60,"Vicia faba",0.811,0,0,0,0,5,"Vicia faba_5"
"108",20,54,5,"Vicia faba",0.802,0.186,0,0.231920199501247,0,5,"Vicia faba_5"
"109",20,54,15,"Vicia faba",0.806,0,0,0,0,5,"Vicia faba_5"
"110",20,58,5,"Vicia faba",0.789,0,0,0,0,5,"Vicia faba_5"
