"AOI","Temp","Time","Rep","Species","Leaf","final","initial","post","post-wet","final-wet"
"16","40","30","A","Lomandra","Whole","0.805","0.785","0.779",NA,NA
"16","40","5","A","Lomandra","Whole","0.783","0.835","0.767",NA,NA
"16","48","30","A","Lomandra","Whole",NA,"0.804",NA,"0.502","0.647"
"16","40","120","B","Lomandra","Whole",NA,"0.79",NA,"0.67","0.777"
"16","40","30","B","Lomandra","Whole","0.778","0.77","0.704",NA,NA
"16","48","5","A","Lomandra","Whole","0.771","0.804","0.695",NA,NA
"16","30","30","B","Lomandra","Whole","0.833","0.803","0.821",NA,NA
"16","40","120","A","Lomandra","Whole","0.798","0.809","0.72",NA,NA
"16","30","120","B","Lomandra","Whole","0.788","0.801","0.695",NA,NA
"16","30","5","A","Lomandra","Whole","0.837","0.817","0.791",NA,NA
"16","40","5","B","Lomandra","Whole","0.832","0.806","0.795",NA,NA
"16","48","5","B","Lomandra","Whole","0.81",NA,"0.753",NA,NA
"2","30","120","B","Lomandra","Cut","0.774","0.771","0.686",NA,NA
"2","30","120","A","Lomandra","Cut","0.798","0.772","0.746",NA,NA
"2","48","120","A","Lomandra","Cut","0.52","0.817","0.416",NA,NA
"2","30","5","B","Lomandra","Cut","0.814","0.803","0.789",NA,NA
"2","48","120","B","Lomandra","Cut","0.704","0.767","0",NA,NA
"2","30","30","A","Lomandra","Cut","0.806","0.809","0.787",NA,NA
"2","40","30","A","Lomandra","Cut","0.768","0.749","0.694",NA,NA
"2","48","30","B","Lomandra","Cut","0.691","0.808","0.508",NA,NA
"2","40","5","A","Lomandra","Cut","0.759","0.83","0.767",NA,NA
"2","48","30","A","Lomandra","Cut",NA,"0.793",NA,"0.463","0.262"
"2","40","120","B","Lomandra","Cut",NA,"0.818",NA,"0.68","0.77"
"2","40","120","A","Lomandra","Cut","0.776","0.798","0.725",NA,NA
"2","30","5","A","Lomandra","Cut","0.802","0.81","0.77",NA,NA
"2","30","30","B","Lomandra","Cut","0.805","0.774","0.798",NA,NA
"2","48","5","B","Lomandra","Cut","0.759",NA,"0.673",NA,NA
"2","48","5","A","Lomandra","Cut","0.744","0.79","0.673",NA,NA
"2","40","30","B","Lomandra","Cut","0.804","0.784","0.749",NA,NA
"2","40","5","B","Lomandra","Cut","0.79","0.782","0.779",NA,NA
"3","30","120","A","Euc","Cut","0.806","0.814","0.765",NA,NA
"3","30","30","A","Euc","Cut","0.835","0.844","0.818",NA,NA
"3","30","120","B","Euc","Cut","0.774","0.843","0.71",NA,NA
"3","30","5","A","Euc","Cut","0.845","0.845","0.816",NA,NA
"3","30","30","B","Euc","Cut","0.82","0.803","0.825",NA,NA
"3","30","5","B","Euc","Cut","0.812","0.842","0.816",NA,NA
"3","40","5","A","Euc","Cut","0.805","0.855","0.788",NA,NA
"3","48","5","A","Euc","Cut","0.625","0.849","0.582",NA,NA
"3","48","120","A","Euc","Cut","0.177","0.847","0",NA,NA
"3","40","5","B","Euc","Cut","0.804","0.835","0.83",NA,NA
"3","40","120","B","Euc","Cut",NA,"0.847",NA,"0.634","0.753"
"3","40","120","A","Euc","Cut","0.767","0.846","0.711",NA,NA
"3","40","30","A","Euc","Cut","0.791","0.803","0.658",NA,NA
"3","48","30","B","Euc","Cut","0.33","0.864","0.199",NA,NA
"3","48","120","B","Euc","Cut","0","0.832","0",NA,NA
"3","48","30","A","Euc","Cut",NA,"0.831",NA,"0","0"
"3","40","30","B","Euc","Cut","0.792","0.803","0.736",NA,NA
"3","48","5","B","Euc","Cut","0.511",NA,"0.467",NA,NA
"4","30","30","A","Poplar","Cut","0.833","0.856","0.816",NA,NA
"4","40","120","A","Poplar","Cut","0.798","0.833","0.693",NA,NA
"4","30","5","B","Poplar","Cut","0.84","0.848","0.825",NA,NA
"4","30","30","B","Poplar","Cut","0.852","0.835","0.85",NA,NA
"4","30","120","A","Poplar","Cut","0.833","0.823","0.81",NA,NA
"4","30","5","A","Poplar","Cut","0.85","0.857","0.824",NA,NA
"4","48","120","B","Poplar","Cut","0","0.822","0",NA,NA
"4","30","120","B","Poplar","Cut","0.845","0.852","0.806",NA,NA
"4","40","120","B","Poplar","Cut",NA,"0.847",NA,"0.67","0.159"
"4","40","5","A","Poplar","Cut","0.808","0.864","0.808",NA,NA
"4","48","120","A","Poplar","Cut","0","0.864","0.091",NA,NA
"4","40","30","A","Poplar","Cut","0.834","0.836","0.755",NA,NA
"4","48","30","B","Poplar","Cut","0.299","0.867","0.458",NA,NA
"4","48","30","A","Poplar","Cut",NA,"0.827",NA,"0.107","0"
"4","40","5","B","Poplar","Cut","0.835","0.836","0.83",NA,NA
"4","40","30","B","Poplar","Cut","0.802","0.823","0.707",NA,NA
"4","48","5","B","Poplar","Cut","0.622",NA,"0.615",NA,NA
"4","48","5","A","Poplar","Cut","0.72","0.834","0.701",NA,NA
"5","30","5","B","Bean","Cut","0.793","0.804","0.789",NA,NA
"5","30","120","A","Bean","Cut","0.797","0.76","0.78",NA,NA
"5","30","30","A","Bean","Cut","0.795","0.824","0.787",NA,NA
"5","40","120","A","Bean","Cut","0.581","0.825","0.524",NA,NA
"5","40","120","B","Bean","Cut",NA,"0.805",NA,"0.429","0.156"
"5","40","30","B","Bean","Cut","0.587","0.803","0.587",NA,NA
"5","40","30","A","Bean","Cut","0.769","0.81","0.699",NA,NA
"5","30","120","B","Bean","Cut","0.806","0.823","0.782",NA,NA
"5","30","30","B","Bean","Cut","0.781","0.799","0.826",NA,NA
"5","30","5","A","Bean","Cut","0.77","0.799","0.747",NA,NA
"5","40","5","A","Bean","Cut","0.738","0.839","0.699",NA,NA
"5","48","30","B","Bean","Cut","0","0.83","0",NA,NA
"5","48","30","A","Bean","Cut",NA,"0.809",NA,"0","0"
"5","48","5","A","Bean","Cut","0.291","0.82","0.434",NA,NA
"5","48","120","A","Bean","Cut","0","0.827","0",NA,NA
"5","40","5","B","Bean","Cut","0.794","0.79","0.809",NA,NA
"5","48","120","B","Bean","Cut","0","0.809","0",NA,NA
"5","48","5","B","Bean","Cut","0.302",NA,"0.463",NA,NA
"6","40","5","B","Euc","Whole","0.804","0.808","0.804",NA,NA
"6","30","30","A","Euc","Whole","0.834","0.847","0.829",NA,NA
"6","30","120","B","Euc","Whole","0.844","0.842","0.787",NA,NA
"6","40","120","B","Euc","Whole",NA,"0.851",NA,"0.475","0.632"
"6","40","30","A","Euc","Whole","0.598","0.815","0.594",NA,NA
"6","30","5","B","Euc","Whole","0.76","0.843","0.818",NA,NA
"6","30","30","B","Euc","Whole","0.85","0.829","0.862",NA,NA
"6","30","120","A","Euc","Whole","0.841","0.822","0.799",NA,NA
"6","30","5","A","Euc","Whole","0.834","0.85","0.813",NA,NA
"6","40","120","A","Euc","Whole","0.807","0.85","0.715",NA,NA
"6","40","5","A","Euc","Whole","0.793","0.867","0.777",NA,NA
"6","40","30","B","Euc","Whole","0.825","0.826","0.754",NA,NA
"6","48","120","A","Euc","Whole","0","0.863","0.084",NA,NA
"6","48","120","B","Euc","Whole","0","0.847","0",NA,NA
"6","48","30","B","Euc","Whole","0.161","0.85","0.096",NA,NA
"6","48","30","A","Euc","Whole",NA,"0.851",NA,"0","0"
"6","48","5","B","Euc","Whole","0.446",NA,"0.359",NA,NA
"6","48","5","A","Euc","Whole","0.695","0.835","0.559",NA,NA
"7","48","120","A","Poplar","Whole","0","0.859","0",NA,NA
"7","48","120","B","Poplar","Whole","0","0.839","0",NA,NA
"7","30","30","A","Poplar","Whole","0.847","0.868","0.833",NA,NA
"7","30","5","B","Poplar","Whole","0.845","0.853","0.832",NA,NA
"7","40","5","A","Poplar","Whole","0.814","0.872","0.681",NA,NA
"7","30","30","B","Poplar","Whole","0.851","0.82","0.851",NA,NA
"7","30","120","A","Poplar","Whole","0.854","0.824","0.811",NA,NA
"7","48","30","A","Poplar","Whole",NA,"0.851",NA,"0","0"
"7","40","120","B","Poplar","Whole",NA,"0.868",NA,"0.673","0.602"
"7","40","120","A","Poplar","Whole","0.834","0.854","0.738",NA,NA
"7","40","30","A","Poplar","Whole","0.842","0.834","0.812",NA,NA
"7","40","5","B","Poplar","Whole","0.857","0.84","0.847",NA,NA
"7","30","120","B","Poplar","Whole","0.835","0.846","0.803",NA,NA
"7","40","30","B","Poplar","Whole","0.831","0.826","0.765",NA,NA
