"","AOI","Temp","Time","Cell","Species","Recovery","Day","final","initial","post"
"168","17","35","60","C5","Lomandra","Light",1,"0.735","0.772","0.708"
"169","17","52","30","C5","Lomandra","Light",1,"0.106","0.772","0.147"
"170","17","52","5","C5","Lomandra","Light",1,"0.487","0.821","0.417"
"171","17","44","60","C5","Lomandra","Light",1,"0.615","0.778","0.338"
"172","18","35","30","C6","Euc","Light",1,"0.715","0.819","0.75"
"173","18","30","60","C6","Euc","Light",1,"0.764","0.83","0.718"
"174","18","52","15","C6","Euc","Light",1,"0","0.82","0.109"
"175","18","40","30","C6","Euc","Light",1,"0.804","0.815","0.736"
"176","18","40","60","C6","Euc","Light",1,"0.642","0.834","0.566"
"177","18","48","30","C6","Euc","Light",1,"0","0.817","0"
"178","18","35","60","C6","Euc","Light",1,"0.739","0.798","0.713"
"179","18","44","120","C6","Euc","Light",1,"0.458","0.8","0.291"
"180","18","52","30","C6","Euc","Light",1,"0","0.814","0"
"181","18","48","60","C6","Euc","Light",1,"0.133","0.804","0.106"
"182","18","35","120","C6","Euc","Light",1,"0.73","0.832","0.747"
"183","18","48","5","C6","Euc","Light",1,"0.397","0.827",NA
"184","18","44","60","C6","Euc","Light",1,"0.571","0.819","0.353"
"185","18","44","15","C6","Euc","Light",1,"0.772","0.804","0.695"
"186","18","40","120","C6","Euc","Light",1,"0.688","0.818","0.624"
"187","18","44","5","C6","Euc","Light",1,"0.749","0.803","0.658"
"188","18","52","5","C6","Euc","Light",1,"0.114","0.842","0.094"
"189","18","40","15","C6","Euc","Light",1,"0.784","0.826","0.772"
"190","18","44","30","C6","Euc","Light",1,"0.747","0.826","0.552"
"191","19","40","30","D1","Euc","Light",1,"0.773","0.789","0.647"
"192","19","40","120","D1","Euc","Light",1,"0.663","0.818","0.695"
"193","19","30","60","D1","Euc","Light",1,"0.816","0.835","0.777"
"194","19","44","15","D1","Euc","Light",1,"0.667","0.788","0.536"
"195","19","48","30","D1","Euc","Light",1,"0","0.813","0"
"196","19","48","5","D1","Euc","Light",1,"0.682","0.835",NA
"197","19","44","30","D1","Euc","Light",1,"0.673","0.803","0.474"
"198","19","35","60","D1","Euc","Light",1,"0.773","0.8","0.743"
"199","19","52","15","D1","Euc","Light",1,"0","0.813","0"
"200","19","35","120","D1","Euc","Light",1,"0.758","0.822","0.727"
"201","19","44","5","D1","Euc","Light",1,"0.788","0.802","0.686"
"202","19","40","15","D1","Euc","Light",1,"0.77","0.838","0.783"
"203","19","40","60","D1","Euc","Light",1,"0.744","0.839","0.822"
"204","19","52","30","D1","Euc","Light",1,"0","0.786","0"
"205","19","44","60","D1","Euc","Light",1,"0.576","0.819","0"
"206","19","35","30","D1","Euc","Light",1,"0.76","0.824","0.71"
"207","19","44","120","D1","Euc","Light",1,"0.366","0.806","0"
"208","19","48","60","D1","Euc","Light",1,"0.087","0.818","0"
"209","19","52","5","D1","Euc","Light",1,"0","0.83","0"
"210","2","30","60","A2","Euc","Light",1,"0.752","0.827","0.687"
"211","2","44","60","A2","Euc","Light",1,"0.531","0.807","0"
"212","2","40","15","A2","Euc","Light",1,"0.738","0.825","0.758"
"213","2","48","60","A2","Euc","Light",1,"0.136","0.806","0.051"
"214","2","35","30","A2","Euc","Light",1,"0.748","0.814","0.71"
"215","2","40","120","A2","Euc","Light",1,"0.691","0.823","0.687"
"216","2","35","60","A2","Euc","Light",1,"0.703","0.806","0.678"
"217","2","44","15","A2","Euc","Light",1,"0.746","0.801","0.595"
"218","2","40","60","A2","Euc","Light",1,"0.566","0.829","0.64"
"219","2","40","30","A2","Euc","Light",1,"0.7","0.802","0.619"
"220","2","52","30","A2","Euc","Light",1,"0","0.787","0"
"221","2","52","5","A2","Euc","Light",1,"0","0.821","0"
"222","2","44","30","A2","Euc","Light",1,"0.726","0.792","0.546"
"223","2","52","15","A2","Euc","Light",1,"0","0.814","0"
"224","2","44","120","A2","Euc","Light",1,"0.612","0.809","0.528"
"225","2","44","5","A2","Euc","Light",1,"0.686","0.794","0.642"
"226","2","35","120","A2","Euc","Light",1,"0.747","0.831","0.708"
"227","2","48","5","A2","Euc","Light",1,"0.459","0.826",NA
"228","2","48","30","A2","Euc","Light",1,"0","0.808","0"
"229","20","30","60","D2","Euc","Light",1,"0.826","0.829","0.775"
"230","20","44","15","D2","Euc","Light",1,"0.76","0.801","0.604"
"231","20","52","15","D2","Euc","Light",1,"0","0.814","0.123"
"232","20","44","30","D2","Euc","Light",1,"0.578","0.803","0.382"
"233","20","40","120","D2","Euc","Light",1,"0.637","0.811","0.662"
"234","20","48","60","D2","Euc","Light",1,"0.098","0.803","0"
"235","20","40","30","D2","Euc","Light",1,"0.809","0.816","0.774"
"236","20","35","30","D2","Euc","Light",1,"0.771","0.818","0.716"
"237","20","40","15","D2","Euc","Light",1,"0.755","0.827","0.734"
"238","20","44","5","D2","Euc","Light",1,"0.774","0.802","0.641"
"239","20","52","30","D2","Euc","Light",1,"0","0.809","0"
"240","20","35","120","D2","Euc","Light",1,"0.744","0.828","0.696"
"241","20","44","60","D2","Euc","Light",1,"0.616","0.814","0"
"242","20","35","60","D2","Euc","Light",1,"0.749","0.793","0.69"
"243","20","40","60","D2","Euc","Light",1,"0.725","0.836","0.726"
"244","20","48","30","D2","Euc","Light",1,"0","0.802","0"
"245","20","44","120","D2","Euc","Light",1,"0.31","0.792","0"
"246","20","48","5","D2","Euc","Light",1,"0.571","0.832",NA
"247","20","52","5","D2","Euc","Light",1,"0.094","0.818","0.124"
"248","21","35","30","D3","Bean","Light",1,"0.759","0.8","0.717"
"249","21","30","60","D3","Bean","Light",1,"0.839","0.826","0.801"
"250","21","52","30","D3","Bean","Light",1,"0","0.789","0"
"251","21","35","120","D3","Bean","Light",1,"0.732","0.823","0.686"
"252","21","52","15","D3","Bean","Light",1,"0","0.802","0"
"253","21","48","30","D3","Bean","Light",1,"0","0.808","0"
"254","21","40","60","D3","Bean","Light",1,"0.341","0.831","0.599"
"255","21","40","120","D3","Bean","Light",1,"0.378","0.804","0.423"
"256","21","40","30","D3","Bean","Light",1,"0.634","0.787","0.483"
"257","21","44","5","D3","Bean","Light",1,"0.196","0.794","0.273"
"258","21","48","60","D3","Bean","Light",1,"0","0.791","0"
"259","21","44","30","D3","Bean","Light",1,"0.104","0.803","0.174"
"260","21","44","15","D3","Bean","Light",1,"0","0.798","0"
"261","21","44","120","D3","Bean","Light",1,"0","0.796","0"
"262","21","40","15","D3","Bean","Light",1,"0.664","0.831","0.421"
"263","21","44","60","D3","Bean","Light",1,"0","0.808","0"
"264","21","35","60","D3","Bean","Light",1,"0.729","0.781","0.723"
"265","21","48","5","D3","Bean","Light",1,"0","0.818",NA
"266","21","52","5","D3","Bean","Light",1,"0","0.816","0"
"267","22","30","60","D4","Poplar","Light",1,"0.797","0.849","0.752"
"268","22","48","60","D4","Poplar","Light",1,"0.16","0.812","0.121"
"269","22","52","30","D4","Poplar","Light",1,"0","0.817","0"
"270","22","40","30","D4","Poplar","Light",1,"0.822","0.829","0.76"
"271","22","44","5","D4","Poplar","Light",1,"0.633","0.819","0.421"
"272","22","48","5","D4","Poplar","Light",1,"0.316","0.848",NA
"273","22","35","30","D4","Poplar","Light",1,"0.819","0.837","0.78"
"274","22","40","60","D4","Poplar","Light",1,"0.649","0.855","0.717"
"275","22","35","120","D4","Poplar","Light",1,"0.764","0.849","0.708"
"276","22","44","15","D4","Poplar","Light",1,"0.588","0.822","0.509"
"277","22","40","120","D4","Poplar","Light",1,"0.633","0.826","0.49"
"278","22","44","30","D4","Poplar","Light",1,"0.581","0.831","0.384"
"279","22","35","60","D4","Poplar","Light",1,"0.773","0.817","0.748"
"280","22","44","120","D4","Poplar","Light",1,"0","0.833","0"
"281","22","52","15","D4","Poplar","Light",1,"0","0.825","0.159"
"282","22","48","30","D4","Poplar","Light",1,"0.073","0.825","0.072"
"283","22","40","15","D4","Poplar","Light",1,"0.812","0.855","0.779"
"284","22","44","60","D4","Poplar","Light",1,"0.314","0.828","0.193"
"285","22","52","5","D4","Poplar","Light",1,"0","0.851","0.068"
"286","23","35","30","D5","Poplar","Light",1,"0.811","0.836","0.771"
"287","23","44","5","D5","Poplar","Light",1,"0.619","0.83","0.427"
"288","23","48","30","D5","Poplar","Light",1,"0.067","0.838","0.056"
"289","23","40","30","D5","Poplar","Light",1,"0.824","0.828","0.765"
"290","23","35","60","D5","Poplar","Light",1,"0.772","0.804","0.762"
"291","23","52","30","D5","Poplar","Light",1,"0","0.82","0"
"292","23","44","120","D5","Poplar","Light",1,"0.206","0.83","0"
"293","23","52","15","D5","Poplar","Light",1,"0","0.832","0.155"
"294","23","40","60","D5","Poplar","Light",1,"0.711","0.856","0.74"
"295","23","40","120","D5","Poplar","Light",1,"0.65","0.819","0.488"
"296","23","52","5","D5","Poplar","Light",1,"0.058","0.855","0.067"
"297","23","35","120","D5","Poplar","Light",1,"0.767","0.846","0.713"
"298","23","44","60","D5","Poplar","Light",1,"0.322","0.823","0"
"299","23","48","60","D5","Poplar","Light",1,"0.122","0.818","0.107"
"300","23","44","15","D5","Poplar","Light",1,"0.594","0.82","0.515"
"301","23","30","60","D5","Poplar","Light",1,"0.829","0.853","0.763"
"302","23","40","15","D5","Poplar","Light",1,"0.809","0.849","0.779"
"303","23","48","5","D5","Poplar","Light",1,"0.324","0.852",NA
"304","23","44","30","D5","Poplar","Light",1,"0.504","0.827","0.394"
"305","24","35","30","D6","Bean","Light",1,"0.796","0.811","0.784"
"306","24","40","60","D6","Bean","Light",1,"0.463","0.823","0.576"
"307","24","48","60","D6","Bean","Light",1,"0","0.779","0"
"308","24","30","60","D6","Bean","Light",1,"0.796","0.808","0.769"
"309","24","52","30","D6","Bean","Light",1,"0","0.816","0"
"310","24","52","15","D6","Bean","Light",1,"0","0.811","0"
"311","24","44","15","D6","Bean","Light",1,"0.154","0.785","0.156"
"312","24","48","30","D6","Bean","Light",1,"0","0.802","0"
"313","24","44","30","D6","Bean","Light",1,"0","0.801","0"
"314","24","40","30","D6","Bean","Light",1,"0.725","0.817","0.633"
"315","24","40","120","D6","Bean","Light",1,"0.366","0.818","0.345"
"316","24","35","120","D6","Bean","Light",1,"0.738","0.809","0.652"
"317","24","44","120","D6","Bean","Light",1,"0","0.799","0"
"318","24","35","60","D6","Bean","Light",1,"0.752","0.79","0.775"
"319","24","48","5","D6","Bean","Light",1,"0","0.813",NA
"320","24","44","60","D6","Bean","Light",1,"0","0.795","0"
"321","24","52","5","D6","Bean","Light",1,"0","0.846","0"
"322","24","44","5","D6","Bean","Light",1,"0.357","0.794","0.392"
"323","24","40","15","D6","Bean","Light",1,"0.654","0.784","0.542"
"324","25","40","120","A1","Bean","Dark",1,"0.272","0.8","0.341"
"325","25","44","30","A1","Bean","Dark",1,"0.081","0.8","0.132"
"326","25","44","15","A1","Bean","Dark",1,"0.258","0.79","0.384"
"327","25","48","60","A1","Bean","Dark",1,"0","0.796","0"
"328","25","44","120","A1","Bean","Dark",1,"0","0.797","0"
"329","25","44","5","A1","Bean","Dark",1,"0.509","0.803","0.566"
"330","25","40","15","A1","Bean","Dark",1,"0.744","0.834","0.614"
"331","25","40","60","A1","Bean","Dark",1,"0.54","0.827","0.715"
"332","25","48","30","A1","Bean","Dark",1,"0","0.798","0"
"333","25","40","30","A1","Bean","Dark",1,"0.685","0.784","0.648"
"334","25","48","5","A1","Bean","Dark",1,"0.211","0.813",NA
"335","25","30","60","A1","Bean","Dark",1,"0.808","0.819","0.793"
