"","AOI","Light","Temp","Time","Cell","Species","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample1","unique_sample","Species_sample"
"338",12,"Moderate",30,15,"C2","Populus nigra",0.861,0.823,0.833,1,4,59,"Populus nigra_59"
"339",12,"Low",54,5,"C2","Populus nigra",0.298,0.845,0.474,0.352662721893491,4,58,"Populus nigra_58"
"340",12,"None",30,5,"C2","Populus nigra",0.872,0.874,0.834,0.997711670480549,4,60,"Populus nigra_60"
"341",12,"Low",44,5,"C2","Populus nigra",0.851,0.839,0.692,1,4,58,"Populus nigra_58"
"342",12,"High",44,60,"C2","Populus nigra",0.446,0.867,0.202,0.51441753171857,4,57,"Populus nigra_57"
"343",12,"Low",52,5,"C2","Populus nigra",0.548,0.838,0.542,0.653937947494033,4,58,"Populus nigra_58"
"344",12,"None",58,5,"C2","Populus nigra",0.077,0.834,0.569,0.092326139088729,4,60,"Populus nigra_60"
"345",12,"High",48,30,"C2","Populus nigra",0.146,0.888,0.263,0.164414414414414,4,57,"Populus nigra_57"
"346",12,"High",42,30,"C2","Populus nigra",0.694,0.835,0.488,0.831137724550898,4,57,"Populus nigra_57"
"347",12,"High",44,15,"C2","Populus nigra",0.758,0.815,0.425,0.930061349693252,4,57,"Populus nigra_57"
"348",12,"High",42,15,"C2","Populus nigra",0.822,0.838,0.552,0.98090692124105,4,57,"Populus nigra_57"
"349",12,"High",48,5,"C2","Populus nigra",0.28,0.861,0.251,0.32520325203252,4,57,"Populus nigra_57"
"350",12,"Low",52,60,"C2","Populus nigra",0.105,0.885,0,0.11864406779661,4,58,"Populus nigra_58"
"351",12,"Low",44,60,"C2","Populus nigra",0.536,0.83,0.438,0.64578313253012,4,58,"Populus nigra_58"
"352",12,"High",48,15,"C2","Populus nigra",0.229,0.868,0.22,0.263824884792627,4,57,"Populus nigra_57"
"353",13,"Low",40,60,"C3","Eucalyptus pauciflora",0.844,0.851,0.673,0.991774383078731,5,62,"Eucalyptus pauciflora_62"
"354",13,"Moderate",42,15,"C3","Eucalyptus pauciflora",0.774,0.851,0.618,0.90951821386604,5,63,"Eucalyptus pauciflora_63"
"355",13,"Moderate",42,30,"C3","Eucalyptus pauciflora",0.79,0.846,0.562,0.933806146572104,5,63,"Eucalyptus pauciflora_63"
"356",13,"None",44,15,"C3","Eucalyptus pauciflora",0.843,0.816,0.734,1,5,64,"Eucalyptus pauciflora_64"
