unique_sample,response_type,threshold,ctmax_1h,ctmax_1m,z_1h,z_1m,r_squared_1h,r_squared_1m,valid_fit,issues
22,fvfm_io,T90,49.93472775882458,57.66767457164986,-4.348868979034752,-4.348868979034752,0.9947886373580213,0.9947886373580213,TRUE,NA
23,fvfm_io,T90,50.87922173830076,53.50889704152479,-1.4788816770545647,-1.478881677054565,0.9955336053726969,0.9955336053726969,TRUE,NA
24,fvfm_io,T90,61.79108077140703,55.577874937971025,3.4941942267821666,3.4941942267821675,0.20706267732069142,0.2070626773206914,TRUE,NA
25,fvfm_io,T90,59.519921679568235,66.129099388435435,-3.716881624913099,-3.7168816249131,0.526593079876943,0.526593079876943,TRUE,NA
26,fvfm_io,T90,50.66433881688944,56.08723827948171,-3.049740263333759,-3.049740263333759,0.9833763025306337,0.9833763025306338,TRUE,NA
27,fvfm_io,T90,44.06262307051527,50.724332199516276,-3.7464243424532717,-3.7464243424532717,0.9898706496657419,0.9898706496657419,TRUE,NA
28,fvfm_io,T90,58.834147235230446,54.34008147387243,2.527381042747855,2.527381042747855,0.5346164643871851,0.534616464387185,TRUE,NA
29,fvfm_io,T90,44.98788030394639,50.81935864004291,-3.2795176084364903,-3.2795176084364903,0.9792173861647977,0.9792173861647977,TRUE,NA
30,fvfm_io,T90,45.11518880675657,51.90838998876978,-3.8203730872430266,-3.8203730872430266,0.9925761133448072,0.9925761133448072,TRUE,NA
31,fvfm_io,T90,50.28044559915127,60.62942255624686,-5.820076866274873,-5.820076866274873,0.9870222422001014,0.9870222422001014,TRUE,NA
32,fvfm_io,T90,51.69719084240468,57.02687360635649,-2.9973168833651824,-2.9973168833651824,0.9966298792253965,0.9966298792253965,TRUE,NA
33,fvfm_io,T90,60.8780882075276,53.18337864393414,4.327365043852867,4.3273650438528675,0.7911052476248954,0.7911052476248952,TRUE,NA
34,fvfm_io,T90,50.21212325462288,53.49887714152382,-1.8484107503182357,-1.8484107503182357,0.9671383096484274,0.9671383096484274,TRUE,NA
35,fvfm_io,T90,NA,NA,NA,NA,0.08521567145557171,0.08521567145557168,FALSE,Poor fit (R² = 0.085); z out of range (5.5)
36,fvfm_io,T90,58.9277697699611,65.3614444483039,-3.6181819049165265,-3.6181819049165274,0.3650467492295584,0.36504674922955826,TRUE,NA
37,fvfm_io,T90,51.61903828317675,63.51838229507834,-6.691975167654753,-6.691975167654755,0.9695565625459877,0.9695565625459877,TRUE,NA
38,fvfm_io,T90,52.70007827442517,62.49431507891359,-5.508101069791037,-5.508101069791037,0.9847701952109541,0.9847701952109541,TRUE,NA
39,fvfm_io,T90,51.07159950812053,57.94846631748046,-3.8674251180130006,-3.8674251180130015,0.9918376744640253,0.9918376744640254,TRUE,NA
40,fvfm_io,T90,44.44403030453892,51.47444597076697,-3.953778209087225,-3.953778209087226,0.9938066614268384,0.9938066614268384,TRUE,NA
41,fvfm_io,T90,50.93368778773987,59.50472618683927,-4.820196480614438,-4.82019648061444,0.9951086538997642,0.9951086538997642,TRUE,NA
