unique_sample,response_type,threshold,Time,temperature,temperature_sd
47,fvfm_io,T90,60,50.64719158835963,0.6420176786451366
48,fvfm_io,T90,5,68.5866960454189,4.239371221287638
48,fvfm_io,T90,15,66.86340856339248,5.132557471514788
48,fvfm_io,T90,30,65.40121075258371,4.862192193508139
48,fvfm_io,T90,60,60.65758693517911,4.249475867408608
49,fvfm_io,T90,5,57.06296131066748,2.5264829202641215
49,fvfm_io,T90,15,54.4837115477729,1.32540713572053
49,fvfm_io,T90,30,53.67981950659581,1.5751761137988807
49,fvfm_io,T90,60,51.79719217286156,1.7763970520780834
50,fvfm_io,T90,5,61.90058487666883,5.165166228089746
50,fvfm_io,T90,15,57.06698817387289,1.5246294749633937
50,fvfm_io,T90,30,55.68405150030075,1.5606319702275027
50,fvfm_io,T90,60,53.01829562475872,1.6743201126424407
51,fvfm_io,T90,5,59.10124112137333,3.0872415040390453
51,fvfm_io,T90,15,54.88620010893303,1.166174637104638
51,fvfm_io,T90,30,53.37167847854283,1.179271444057487
51,fvfm_io,T90,60,51.165742885345445,0.841812958175487
52,fvfm_io,T90,5,70.80261023604302,7.3728955043834095
52,fvfm_io,T90,15,61.60675942634897,3.453339975574223
52,fvfm_io,T90,30,59.34651271118067,3.169599362443132
52,fvfm_io,T90,60,56.020255935845825,2.947528033708828
53,fvfm_io,T90,5,61.58787892174632,3.2327594796582386
53,fvfm_io,T90,15,61.199190738117096,2.953208085744346
53,fvfm_io,T90,30,62.840064530096065,3.9524987867087966
53,fvfm_io,T90,60,60.57780254467719,4.2836186412742485
54,fvfm_io,T90,5,63.34630659901601,3.7725228069065886
54,fvfm_io,T90,15,68.82156799084873,5.424816981640447
54,fvfm_io,T90,30,68.46204950576332,5.959490523057411
54,fvfm_io,T90,60,62.99406583640957,5.8087157706923405
55,fvfm_io,T90,5,63.566462262832275,4.737254618496023
55,fvfm_io,T90,15,69.2926132284457,4.378401214258516
55,fvfm_io,T90,30,71.25851492632553,4.561636008729981
55,fvfm_io,T90,60,67.14469170319568,5.380827979358403
56,fvfm_io,T90,5,68.81695141928469,5.977781484817442
56,fvfm_io,T90,15,70.28027135586925,5.48984149770183
56,fvfm_io,T90,30,71.46903880529726,6.290371256245604
56,fvfm_io,T90,60,66.5576094223275,7.509857535660686
57,fvfm_io,T90,5,53.64944147357167,1.5534485488685599
57,fvfm_io,T90,15,52.358213185950824,0.9417980305316868
57,fvfm_io,T90,30,51.99940460334293,1.370761743660188
57,fvfm_io,T90,60,50.988844933628606,1.8879411809926667
58,fvfm_io,T90,5,59.2653028282553,3.786589020126875
58,fvfm_io,T90,15,56.87004609386632,2.280929622528511
58,fvfm_io,T90,30,55.55093163289803,2.432507527532148
58,fvfm_io,T90,60,52.7138885478218,2.265738391583633
