"","X","AOI","Temp","Time","Cell","Species","Recovery","Day","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample","Species_sample"
"541",541,35,44,5,"B5","Vicia faba","Dark",1,0.434,0.815,0.466,0.532515337423313,29,"Vicia faba_29"
"542",542,35,52,5,"B5","Vicia faba","Dark",1,0,0.832,0.268,0,29,"Vicia faba_29"
"543",543,35,44,30,"B5","Vicia faba","Dark",1,0.171,0.797,0.197,0.214554579673777,29,"Vicia faba_29"
"544",544,35,35,30,"B5","Vicia faba","Dark",1,0.778,0.801,0.758,0.971285892634207,29,"Vicia faba_29"
"545",545,35,40,15,"B5","Vicia faba","Dark",1,0.68,0.818,0.555,0.831295843520783,29,"Vicia faba_29"
"546",546,35,48,30,"B5","Vicia faba","Dark",1,0,0.823,0,0,29,"Vicia faba_29"
"547",547,35,44,60,"B5","Vicia faba","Dark",1,0.261,0.808,0.186,0.323019801980198,29,"Vicia faba_29"
"548",548,35,44,120,"B5","Vicia faba","Dark",1,0,0.808,0,0,29,"Vicia faba_29"
"549",549,35,35,120,"B5","Vicia faba","Dark",1,0.728,0.813,0.687,0.895448954489545,29,"Vicia faba_29"
"550",550,35,40,30,"B5","Vicia faba","Dark",1,0.754,0.807,0.649,0.934324659231722,29,"Vicia faba_29"
"551",551,35,35,60,"B5","Vicia faba","Dark",1,0.754,0.781,0.782,0.965428937259923,29,"Vicia faba_29"
"552",552,36,30,60,"B6","Vicia faba","Dark",1,0.799,0.828,0.774,0.964975845410628,30,"Vicia faba_30"
"553",553,36,40,60,"B6","Vicia faba","Dark",1,0.597,0.825,0.751,0.723636363636364,30,"Vicia faba_30"
"554",554,36,48,60,"B6","Vicia faba","Dark",1,0,0.809,0,0,30,"Vicia faba_30"
"555",555,36,44,5,"B6","Vicia faba","Dark",1,0.475,0.786,0.517,0.604325699745547,30,"Vicia faba_30"
"556",556,36,44,15,"B6","Vicia faba","Dark",1,0.213,0.789,0.303,0.269961977186312,30,"Vicia faba_30"
"557",557,36,44,30,"B6","Vicia faba","Dark",1,0.09,0.816,0.245,0.110294117647059,30,"Vicia faba_30"
"558",558,36,48,5,"B6","Vicia faba","Dark",1,0.209,0.835,NA,0.250299401197605,30,"Vicia faba_30"
"559",559,36,44,120,"B6","Vicia faba","Dark",1,0,0.804,0,0,30,"Vicia faba_30"
"560",560,36,44,60,"B6","Vicia faba","Dark",1,0.236,0.805,0,0.293167701863354,30,"Vicia faba_30"
"561",561,36,48,30,"B6","Vicia faba","Dark",1,0,0.823,0,0,30,"Vicia faba_30"
"562",562,36,52,30,"B6","Vicia faba","Dark",1,0,0.797,0,0,30,"Vicia faba_30"
"563",563,36,40,15,"B6","Vicia faba","Dark",1,0.69,0.776,0.564,0.889175257731959,30,"Vicia faba_30"
"564",564,36,52,15,"B6","Vicia faba","Dark",1,0,0.812,0,0,30,"Vicia faba_30"
"565",565,36,35,30,"B6","Vicia faba","Dark",1,0.786,0.808,0.768,0.972772277227723,30,"Vicia faba_30"
"566",566,36,40,30,"B6","Vicia faba","Dark",1,0.775,0.809,0.629,0.957972805933251,30,"Vicia faba_30"
"567",567,36,52,5,"B6","Vicia faba","Dark",1,0,0.84,0,0,30,"Vicia faba_30"
"568",568,36,35,120,"B6","Vicia faba","Dark",1,0.715,0.815,0.667,0.877300613496933,30,"Vicia faba_30"
"569",569,36,40,120,"B6","Vicia faba","Dark",1,0.323,0.822,0.35,0.39294403892944,30,"Vicia faba_30"
"570",570,36,35,60,"B6","Vicia faba","Dark",1,0.75,0.8,0.787,0.9375,30,"Vicia faba_30"
"571",571,37,30,60,"C1","Populus nigra","Dark",1,0.847,0.845,0.831,1,31,"Populus nigra_31"
"572",572,37,40,30,"C1","Populus nigra","Dark",1,0.749,0.803,0.653,0.932752179327522,31,"Populus nigra_31"
"573",573,37,48,5,"C1","Populus nigra","Dark",1,0.706,0.836,NA,0.844497607655502,31,"Populus nigra_31"
"574",574,37,44,5,"C1","Populus nigra","Dark",1,0.811,0.823,0.777,0.985419198055893,31,"Populus nigra_31"
"575",575,37,44,15,"C1","Populus nigra","Dark",1,0.711,0.823,0.535,0.863912515188335,31,"Populus nigra_31"
"576",576,37,52,15,"C1","Populus nigra","Dark",1,0.067,0.835,0.291,0.0802395209580838,31,"Populus nigra_31"
"577",577,37,35,120,"C1","Populus nigra","Dark",1,0.813,0.857,0.819,0.948658109684947,31,"Populus nigra_31"
"578",578,37,40,15,"C1","Populus nigra","Dark",1,0.817,0.857,0.801,0.953325554259043,31,"Populus nigra_31"
"579",579,37,44,30,"C1","Populus nigra","Dark",1,0.598,0.821,0.57,0.728380024360536,31,"Populus nigra_31"
"580",580,37,40,120,"C1","Populus nigra","Dark",1,0.793,0.836,0.764,0.948564593301435,31,"Populus nigra_31"
"581",581,37,40,60,"C1","Populus nigra","Dark",1,0.79,0.84,0.845,0.940476190476191,31,"Populus nigra_31"
"582",582,37,35,30,"C1","Populus nigra","Dark",1,0.828,0.837,0.816,0.989247311827957,31,"Populus nigra_31"
"583",583,37,48,60,"C1","Populus nigra","Dark",1,0.156,0.822,0.097,0.18978102189781,31,"Populus nigra_31"
"584",584,37,35,60,"C1","Populus nigra","Dark",1,0.798,0.823,0.806,0.969623329283111,31,"Populus nigra_31"
"585",585,37,48,30,"C1","Populus nigra","Dark",1,0.381,0.834,0.359,0.456834532374101,31,"Populus nigra_31"
"586",586,37,52,30,"C1","Populus nigra","Dark",1,0,0.8,0,0,31,"Populus nigra_31"
"587",587,37,44,60,"C1","Populus nigra","Dark",1,0.635,0.824,0.476,0.770631067961165,31,"Populus nigra_31"
"588",588,37,44,120,"C1","Populus nigra","Dark",1,0.497,0.836,0.367,0.594497607655502,31,"Populus nigra_31"
"589",589,37,52,5,"C1","Populus nigra","Dark",1,0.387,0.847,0.493,0.456906729634002,31,"Populus nigra_31"
"590",590,38,44,5,"C2","Eucalyptus pauciflora","Dark",1,0.77,0.798,0.726,0.964912280701754,32,"Eucalyptus pauciflora_32"
"591",591,38,52,15,"C2","Eucalyptus pauciflora","Dark",1,0.089,0.815,0.273,0.10920245398773,32,"Eucalyptus pauciflora_32"
"592",592,38,40,120,"C2","Eucalyptus pauciflora","Dark",1,0.68,0.803,0.715,0.846824408468244,32,"Eucalyptus pauciflora_32"
"593",593,38,35,60,"C2","Eucalyptus pauciflora","Dark",1,0.78,0.803,0.783,0.971357409713574,32,"Eucalyptus pauciflora_32"
"594",594,38,30,60,"C2","Eucalyptus pauciflora","Dark",1,0.821,0.835,0.764,0.983233532934132,32,"Eucalyptus pauciflora_32"
"595",595,38,35,120,"C2","Eucalyptus pauciflora","Dark",1,0.73,0.835,0.761,0.874251497005988,32,"Eucalyptus pauciflora_32"
"596",596,38,40,30,"C2","Eucalyptus pauciflora","Dark",1,0.772,0.811,0.703,0.951911220715166,32,"Eucalyptus pauciflora_32"
"597",597,38,52,30,"C2","Eucalyptus pauciflora","Dark",1,0,0.803,0,0,32,"Eucalyptus pauciflora_32"
"598",598,38,48,30,"C2","Eucalyptus pauciflora","Dark",1,0.161,0.819,0.118,0.196581196581197,32,"Eucalyptus pauciflora_32"
"599",599,38,48,60,"C2","Eucalyptus pauciflora","Dark",1,0.094,0.783,0,0.120051085568327,32,"Eucalyptus pauciflora_32"
"600",600,38,44,120,"C2","Eucalyptus pauciflora","Dark",1,0.663,0.805,0.455,0.82360248447205,32,"Eucalyptus pauciflora_32"
"601",601,38,44,30,"C2","Eucalyptus pauciflora","Dark",1,0.504,0.791,0.291,0.63716814159292,32,"Eucalyptus pauciflora_32"
"602",602,38,44,15,"C2","Eucalyptus pauciflora","Dark",1,0.663,0.797,0.563,0.831869510664994,32,"Eucalyptus pauciflora_32"
"603",603,38,40,60,"C2","Eucalyptus pauciflora","Dark",1,0.705,0.834,0.71,0.845323741007194,32,"Eucalyptus pauciflora_32"
"604",604,38,44,60,"C2","Eucalyptus pauciflora","Dark",1,0.543,0.802,0.313,0.677057356608479,32,"Eucalyptus pauciflora_32"
"605",605,38,48,5,"C2","Eucalyptus pauciflora","Dark",1,0.638,0.813,NA,0.784747847478475,32,"Eucalyptus pauciflora_32"
"606",606,38,52,5,"C2","Eucalyptus pauciflora","Dark",1,0.252,0.831,0.255,0.303249097472924,32,"Eucalyptus pauciflora_32"
"607",607,38,35,30,"C2","Eucalyptus pauciflora","Dark",1,0.733,0.817,0.786,0.89718482252142,32,"Eucalyptus pauciflora_32"
"608",608,38,40,15,"C2","Eucalyptus pauciflora","Dark",1,0.735,0.83,0.765,0.885542168674699,32,"Eucalyptus pauciflora_32"
"609",609,39,30,60,"C3","Lomandra longifolia","Dark",1,0.767,0.797,0.74,0.962358845671267,33,"Lomandra longifolia_33"
"610",610,39,48,30,"C3","Lomandra longifolia","Dark",1,0.711,0.767,0.578,0.926988265971317,33,"Lomandra longifolia_33"
"611",611,39,40,30,"C3","Lomandra longifolia","Dark",1,0.758,0.746,0.739,1,33,"Lomandra longifolia_33"
"612",612,39,44,5,"C3","Lomandra longifolia","Dark",1,0.77,0.77,0.756,1,33,"Lomandra longifolia_33"
"613",613,39,35,120,"C3","Lomandra longifolia","Dark",1,0.722,0.771,0.709,0.936446173800259,33,"Lomandra longifolia_33"
"614",614,39,48,5,"C3","Lomandra longifolia","Dark",1,0.763,0.813,NA,0.93849938499385,33,"Lomandra longifolia_33"
"615",615,39,44,15,"C3","Lomandra longifolia","Dark",1,0.756,0.787,0.718,0.960609911054638,33,"Lomandra longifolia_33"
"616",616,39,44,60,"C3","Lomandra longifolia","Dark",1,0.755,0.752,0.632,1,33,"Lomandra longifolia_33"
"617",617,39,52,15,"C3","Lomandra longifolia","Dark",1,0.191,0.789,0.334,0.242078580481622,33,"Lomandra longifolia_33"
"618",618,39,40,60,"C3","Lomandra longifolia","Dark",1,0.757,0.828,0.858,0.914251207729469,33,"Lomandra longifolia_33"
"619",619,39,52,30,"C3","Lomandra longifolia","Dark",1,0.101,0.772,0.13,0.130829015544041,33,"Lomandra longifolia_33"
"620",620,39,40,15,"C3","Lomandra longifolia","Dark",1,0.77,0.826,0.741,0.932203389830509,33,"Lomandra longifolia_33"
"621",621,39,35,60,"C3","Lomandra longifolia","Dark",1,0.749,0.765,0.767,0.979084967320261,33,"Lomandra longifolia_33"
"622",622,39,40,120,"C3","Lomandra longifolia","Dark",1,0.731,0.797,0.709,0.917189460476788,33,"Lomandra longifolia_33"
"623",623,39,44,120,"C3","Lomandra longifolia","Dark",1,0.726,0.775,0.587,0.936774193548387,33,"Lomandra longifolia_33"
"624",624,39,44,30,"C3","Lomandra longifolia","Dark",1,0.736,0.778,0.717,0.946015424164524,33,"Lomandra longifolia_33"
"625",625,39,48,60,"C3","Lomandra longifolia","Dark",1,0.547,0.75,0.37,0.729333333333333,33,"Lomandra longifolia_33"
